# time 	 divergence 	 # of mutations 	 # IGC chances 	 IGC length 	 # IGC failures 	 Changes due to IGC  	 % change due to IGC 
0.0	0.147435897436	0	0	0	0	0	0.0
0.00741029958997	0.149572649573	1	0	0	0	0	0.0
0.0213069114224	0.151709401709	2	0	0	0	0	0.0
0.0235172364247	0.153846153846	3	0	0	0	0	0.0
0.0244352249006	0.155982905983	4	0	0	0	0	0.0
0.0262317357418	0.15811965812	5	0	0	0	0	0.0
0.0269660969002	0.151709401709	5	1	9	0	3	0.375
0.0270926997971	0.153846153846	6	1	9	0	3	0.333333333333
0.0283691218727	0.155982905983	7	1	9	0	3	0.3
0.030074685287	0.15811965812	8	1	9	0	3	0.272727272727
0.0349665574373	0.160256410256	9	1	9	0	3	0.25
0.0355623829735	0.162393162393	10	1	9	0	3	0.230769230769
