# geo_10.0_sim_0 geo_10.0_sim_1 geo_10.0_sim_2 geo_10.0_sim_3 geo_10.0_sim_4 geo_10.0_sim_5 geo_10.0_sim_6 geo_10.0_sim_7 geo_10.0_sim_8 geo_10.0_sim_9 geo_10.0_sim_10 geo_10.0_sim_11 geo_10.0_sim_12 geo_10.0_sim_13 geo_10.0_sim_14 geo_10.0_sim_15 geo_10.0_sim_16 geo_10.0_sim_17 geo_10.0_sim_18 geo_10.0_sim_19 geo_10.0_sim_20 geo_10.0_sim_21 geo_10.0_sim_22 geo_10.0_sim_23 geo_10.0_sim_24 geo_10.0_sim_25 geo_10.0_sim_26 geo_10.0_sim_27 geo_10.0_sim_28 geo_10.0_sim_29
-2.359639632999999776e+03 -2.212564737000000150e+03 -2.315654136999999992e+03 -2.338785668999999871e+03 -2.558141341000000011e+03 -2.411752513999999792e+03 -2.620415101999999933e+03 -2.452343698000000131e+03 -2.530270700999999917e+03 -2.548095963000000211e+03 -2.226282530999999835e+03 -2.122928605000000061e+03 -2.322782467999999881e+03 -2.415792051999999785e+03 -2.242334069000000000e+03 -2.417055066999999781e+03 -2.250402735000000121e+03 -2.273064636999999948e+03 -2.348486785999999938e+03 -2.377846253000000161e+03 -2.266415273000000070e+03 -2.335823135000000093e+03 -2.388478643999999804e+03 -2.430802004000000125e+03 -2.417260287999999946e+03 -2.376739552000000003e+03 -2.148876127999999881e+03 -2.278322921999999835e+03 -2.403586321000000225e+03 -2.321516862999999830e+03
1.597320000000000073e+00 2.583600000000000119e+00 2.227619999999999933e+00 2.674179999999999779e+00 2.382060000000000066e+00 2.814900000000000180e+00 2.130389999999999784e+00 1.562359999999999971e+00 2.260549999999999837e+00 1.734499999999999931e+00 2.187549999999999883e+00 1.846060000000000034e+00 1.888099999999999890e+00 2.090879999999999850e+00 2.128000000000000114e+00 1.724669999999999925e+00 1.920150000000000023e+00 2.159530000000000172e+00 2.018609999999999793e+00 2.542479999999999851e+00 1.600970000000000004e+00 2.184390000000000054e+00 1.628009999999999957e+00 2.202550000000000008e+00 1.771689999999999987e+00 2.341149999999999842e+00 2.332139999999999880e+00 2.528369999999999784e+00 1.777430000000000065e+00 2.263339999999999907e+00
9.641699999999999715e-01 9.676099999999999701e-01 9.857200000000000406e-01 1.122949999999999893e+00 1.101620000000000044e+00 8.242300000000000182e-01 9.812199999999999811e-01 9.974800000000000333e-01 8.793299999999999450e-01 6.632599999999999607e-01 7.711000000000000076e-01 1.036829999999999918e+00 1.195130000000000026e+00 7.922599999999999643e-01 8.427099999999999591e-01 7.785199999999999898e-01 9.100399999999999601e-01 9.950900000000000301e-01 7.831399999999999473e-01 9.308199999999999807e-01 8.771600000000000508e-01 6.999400000000000066e-01 6.657600000000000184e-01 1.084100000000000064e+00 7.357799999999999896e-01 7.975900000000000212e-01 7.188400000000000345e-01 7.850399999999999601e-01 8.377200000000000202e-01 8.225599999999999579e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
2.367569999999999952e-01 2.182260000000000033e-01 2.305939999999999934e-01 2.148730000000000084e-01 2.371560000000000057e-01 1.858779999999999877e-01 2.248610000000000053e-01 1.278509999999999924e-01 1.530430000000000124e-01 2.226670000000000038e-01 2.207540000000000058e-01 1.932619999999999894e-01 1.177219999999999933e-01 1.869530000000000081e-01 1.677140000000000020e-01 2.421270000000000089e-01 1.944110000000000005e-01 1.611980000000000079e-01 1.584399999999999975e-01 1.718210000000000015e-01 2.057209999999999872e-01 2.548730000000000162e-01 1.679970000000000074e-01 2.670170000000000043e-01 1.732889999999999986e-01 2.033419999999999950e-01 2.070569999999999911e-01 1.456260000000000054e-01 2.410629999999999995e-01 1.531299999999999883e-01
3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.856000000000000053e-03 3.999999999999999819e-06 6.130000000000000032e-03 3.999999999999999819e-06 4.784499999999999864e-02 6.185999999999999659e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 7.374999999999999611e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 5.329999999999999669e-03 3.999999999999999819e-06 3.999999999999999819e-06 5.732000000000000116e-03 3.999999999999999819e-06
7.001000000000000278e-03 3.999999999999999819e-06 2.176600000000000062e-02 1.206100000000000054e-02 1.881400000000000086e-02 3.047199999999999909e-02 1.927500000000000047e-02 2.007499999999999910e-02 1.090499999999999976e-02 5.305999999999999953e-03 1.349599999999999932e-02 3.999999999999999819e-06 4.616000000000000311e-03 3.999999999999999819e-06 8.259999999999999981e-03 3.418700000000000211e-02 1.250399999999999949e-02 5.125000000000000215e-03 3.999999999999999819e-06 1.200000000000000025e-02 1.233300000000000021e-02 1.504199999999999982e-02 1.311799999999999945e-02 1.260700000000000015e-02 3.210600000000000259e-02 4.551999999999999623e-03 1.436100000000000050e-02 1.476599999999999961e-02 3.064100000000000157e-02 2.214299999999999949e-02
3.999999999999999819e-06 1.929900000000000018e-02 2.140099999999999988e-02 1.598199999999999968e-02 2.574699999999999905e-02 1.193299999999999916e-02 1.227100000000000066e-02 3.999999999999999819e-06 1.307200000000000029e-02 3.999999999999999819e-06 1.287899999999999982e-02 6.429999999999999952e-03 1.327000000000000055e-02 3.999999999999999819e-06 7.113999999999999664e-03 1.491600000000000044e-02 1.450000000000000009e-04 1.992199999999999874e-02 3.306900000000000117e-02 2.045999999999999902e-02 1.284500000000000051e-02 3.999999999999999819e-06 2.076499999999999874e-02 3.999999999999999819e-06 1.426400000000000064e-02 2.200399999999999925e-02 3.999999999999999819e-06 2.127300000000000024e-02 3.003199999999999967e-02 5.908000000000000057e-03
4.104300000000000309e-02 3.227100000000000107e-02 3.712399999999999728e-02 3.999999999999999819e-06 2.953700000000000075e-02 5.213999999999999885e-02 7.794800000000000340e-02 3.638500000000000068e-02 5.279799999999999771e-02 4.437599999999999878e-02 5.899399999999999783e-02 1.276399999999999930e-02 3.836900000000000033e-02 6.509299999999999808e-02 2.604700000000000071e-02 3.329399999999999721e-02 2.601200000000000040e-02 2.590800000000000047e-02 1.604699999999999876e-02 3.902499999999999719e-02 2.571800000000000128e-02 8.010899999999999965e-02 5.615799999999999959e-02 4.526199999999999668e-02 4.313000000000000167e-02 5.246300000000000269e-02 4.111599999999999977e-02 2.594700000000000131e-02 3.005100000000000132e-02 2.903999999999999984e-02
1.568999999999999909e-02 1.771199999999999858e-02 4.546700000000000047e-02 1.286600000000000070e-02 6.305999999999999973e-03 5.171900000000000108e-02 2.549999999999999836e-02 2.726100000000000051e-02 3.154599999999999765e-02 7.359000000000000090e-03 5.487999999999999823e-03 3.999999999999999819e-06 1.277799999999999943e-02 1.267399999999999950e-02 3.999999999999999819e-06 3.485599999999999810e-02 6.460999999999999729e-03 1.943699999999999942e-02 2.372600000000000056e-02 1.873299999999999965e-02 2.565500000000000072e-02 9.646999999999999326e-03 2.026800000000000129e-02 3.999999999999999819e-06 3.999999999999999819e-06 2.555400000000000033e-02 3.952999999999999917e-03 3.999999999999999819e-06 3.999999999999999819e-06 1.633000000000000076e-02
