# geo_500.0_sim_0 geo_500.0_sim_1 geo_500.0_sim_2 geo_500.0_sim_3 geo_500.0_sim_4 geo_500.0_sim_5 geo_500.0_sim_6 geo_500.0_sim_7 geo_500.0_sim_8 geo_500.0_sim_9 geo_500.0_sim_10 geo_500.0_sim_11 geo_500.0_sim_12 geo_500.0_sim_13 geo_500.0_sim_14 geo_500.0_sim_15 geo_500.0_sim_16 geo_500.0_sim_17 geo_500.0_sim_18 geo_500.0_sim_19 geo_500.0_sim_20 geo_500.0_sim_21 geo_500.0_sim_22 geo_500.0_sim_23 geo_500.0_sim_24 geo_500.0_sim_25 geo_500.0_sim_26 geo_500.0_sim_27 geo_500.0_sim_28 geo_500.0_sim_29
-1.747550861100000111e+04 -1.749987130099999922e+04 -1.742476509100000112e+04 -1.790832996600000115e+04 -1.756730688400000145e+04 -1.769236201900000015e+04 -1.749101831899999888e+04 -1.758055613599999924e+04 -1.764689988499999890e+04 -1.774782800499999939e+04 -1.732735718600000109e+04 -1.740970311900000161e+04 -1.741641390500000125e+04 -1.754813205300000118e+04 -1.743029828899999848e+04 -1.777100094399999944e+04 -1.768770150799999828e+04 -1.751281979900000078e+04 -1.733389211599999908e+04 -1.769388573099999849e+04 -1.771245797400000083e+04 -1.742981631800000105e+04 -1.732961292799999865e+04 -1.717357995999999912e+04 -1.745962774300000092e+04 -1.769718756399999984e+04 -1.739145840300000054e+04 -1.710272400900000139e+04 -1.759092060599999968e+04 -1.756299148100000093e+04
1.868230000000000057e+00 2.032220000000000137e+00 1.938379999999999992e+00 1.876840000000000064e+00 1.966590000000000060e+00 1.952530000000000099e+00 1.910379999999999967e+00 1.896099999999999897e+00 1.883909999999999973e+00 1.945969999999999978e+00 1.874889999999999946e+00 1.852800000000000002e+00 1.870049999999999990e+00 1.925570000000000004e+00 1.941179999999999906e+00 1.902130000000000098e+00 1.872290000000000010e+00 2.077479999999999993e+00 1.930760000000000032e+00 1.824580000000000091e+00 1.958660000000000068e+00 1.924320000000000030e+00 1.946229999999999905e+00 1.773590000000000000e+00 1.950849999999999973e+00 1.943769999999999998e+00 1.849329999999999918e+00 1.847790000000000044e+00 1.961740000000000039e+00 2.036820000000000075e+00
2.759900000000000131e-01 2.745000000000000218e-01 2.849999999999999756e-01 2.865500000000000269e-01 2.772299999999999764e-01 2.775099999999999789e-01 2.835599999999999787e-01 2.826600000000000223e-01 2.820300000000000029e-01 2.741700000000000248e-01 2.713599999999999901e-01 2.666899999999999826e-01 2.620000000000000107e-01 2.695100000000000273e-01 2.677700000000000080e-01 2.837500000000000022e-01 2.820500000000000229e-01 2.689099999999999824e-01 2.683099999999999929e-01 2.860500000000000265e-01 2.634400000000000075e-01 2.708599999999999897e-01 2.842399999999999927e-01 2.795400000000000107e-01 2.762999999999999901e-01 2.834599999999999898e-01 2.605899999999999883e-01 2.678300000000000125e-01 2.803800000000000181e-01 2.560799999999999743e-01
1.114803999999999906e+00 7.688260000000000094e-01 9.384390000000000231e-01 7.288959999999999884e-01 5.907620000000000093e-01 7.362570000000000503e-01 9.065819999999999990e-01 8.980890000000000262e-01 9.729959999999999720e-01 8.420940000000000092e-01 6.722519999999999607e-01 1.059279999999999999e+00 8.515270000000000339e-01 4.291690000000000227e-01 8.792349999999999888e-01 1.045385000000000009e+00 7.528789999999999649e-01 7.217839999999999812e-01 6.606499999999999595e-01 1.041355999999999948e+00 7.760930000000000328e-01 6.035420000000000229e-01 6.052110000000000545e-01 7.014259999999999939e-01 8.469710000000000294e-01 7.874449999999999505e-01 1.127478999999999898e+00 9.566219999999999724e-01 7.582069999999999643e-01 7.267489999999999783e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
7.222600000000000131e-01 9.344780000000000308e-01 5.650720000000000187e-01 7.581200000000000161e-01 7.507369999999999877e-01 1.051485999999999921e+00 1.125667999999999891e+00 8.850609999999999866e-01 7.989789999999999948e-01 9.596430000000000238e-01 6.509840000000000071e-01 3.509249999999999869e-01 7.872369999999999646e-01 1.234253000000000045e+00 4.722270000000000079e-01 4.241929999999999867e-01 1.040030999999999928e+00 6.676790000000000225e-01 7.627990000000000048e-01 7.864870000000000472e-01 6.570829999999999727e-01 8.258940000000000170e-01 8.606479999999999686e-01 1.067177000000000042e+00 6.203809999999999603e-01 6.559390000000000498e-01 3.843869999999999787e-01 8.902630000000000265e-01 8.241709999999999869e-01 8.932600000000000540e-01
4.690369999999999817e-01 7.897149999999999448e-01 7.466399999999999704e-01 6.680239999999999512e-01 7.095240000000000435e-01 6.131579999999999808e-01 7.246679999999999788e-01 7.720900000000000540e-01 7.604450000000000376e-01 6.928760000000000474e-01 5.928769999999999873e-01 7.432879999999999487e-01 8.253909999999999858e-01 7.293460000000000498e-01 6.190649999999999764e-01 8.151279999999999637e-01 7.900249999999999773e-01 7.027619999999999978e-01 9.162350000000000216e-01 1.070913999999999922e+00 9.677930000000000144e-01 8.338480000000000336e-01 7.372520000000000184e-01 6.263670000000000071e-01 8.989219999999999988e-01 9.432749999999999746e-01 7.303579999999999517e-01 6.798790000000000111e-01 9.763500000000000512e-01 5.532730000000000148e-01
6.754790000000000516e-01 7.975649999999999684e-01 7.293469999999999676e-01 7.027729999999999810e-01 7.341520000000000268e-01 6.733190000000000008e-01 6.728300000000000392e-01 6.678800000000000292e-01 6.571200000000000374e-01 7.383429999999999715e-01 6.181609999999999605e-01 7.256529999999999925e-01 6.645400000000000196e-01 5.813739999999999464e-01 6.643540000000000001e-01 5.742169999999999774e-01 6.817950000000000399e-01 5.838370000000000504e-01 5.401770000000000183e-01 5.637760000000000549e-01 5.875190000000000135e-01 6.173809999999999576e-01 6.370179999999999731e-01 6.672740000000000338e-01 4.360890000000000044e-01 6.216070000000000206e-01 8.063609999999999944e-01 7.848159999999999581e-01 5.703810000000000269e-01 7.790770000000000195e-01
1.116160000000000069e-01 2.377869999999999984e-01 1.517400000000000138e-01 2.367829999999999935e-01 2.870809999999999751e-01 2.076610000000000122e-01 1.463770000000000071e-01 1.787120000000000097e-01 1.925300000000000067e-01 1.694610000000000005e-01 1.487239999999999951e-01 2.382100000000000051e-01 1.588680000000000092e-01 1.112640000000000018e-01 2.705509999999999859e-01 2.649440000000000128e-01 2.449189999999999978e-01 2.778649999999999731e-01 1.617339999999999889e-01 1.909399999999999986e-01 2.375140000000000029e-01 2.433629999999999960e-01 3.063179999999999792e-01 2.362339999999999995e-01 1.907220000000000026e-01 2.801589999999999914e-01 2.127769999999999939e-01 2.156689999999999996e-01 3.073969999999999758e-01 3.307260000000000200e-01
1.979970000000000063e-01 2.059050000000000047e-01 1.871389999999999998e-01 2.012869999999999937e-01 2.471760000000000068e-01 1.471780000000000033e-01 2.249539999999999873e-01 1.353959999999999886e-01 2.178289999999999949e-01 2.013089999999999880e-01 2.736339999999999884e-01 1.433240000000000069e-01 3.274050000000000016e-01 2.327420000000000044e-01 1.684499999999999886e-01 1.955479999999999996e-01 1.528579999999999939e-01 1.532920000000000116e-01 2.146740000000000037e-01 2.048490000000000033e-01 9.811000000000000276e-02 2.118359999999999965e-01 1.768859999999999877e-01 1.023079999999999962e-01 2.248580000000000023e-01 1.958070000000000088e-01 2.098230000000000095e-01 1.636380000000000057e-01 7.657400000000000317e-02 1.238569999999999949e-01
