# geo_10.0_sim_0 geo_10.0_sim_1 geo_10.0_sim_2 geo_10.0_sim_3 geo_10.0_sim_4 geo_10.0_sim_5 geo_10.0_sim_6 geo_10.0_sim_7 geo_10.0_sim_8 geo_10.0_sim_9 geo_10.0_sim_10 geo_10.0_sim_11 geo_10.0_sim_12 geo_10.0_sim_13 geo_10.0_sim_14 geo_10.0_sim_15 geo_10.0_sim_16 geo_10.0_sim_17 geo_10.0_sim_18 geo_10.0_sim_19 geo_10.0_sim_20 geo_10.0_sim_21 geo_10.0_sim_22 geo_10.0_sim_23 geo_10.0_sim_24 geo_10.0_sim_25 geo_10.0_sim_26 geo_10.0_sim_27 geo_10.0_sim_28 geo_10.0_sim_29
-1.956209437999999864e+04 -1.963458785699999862e+04 -1.958033173499999975e+04 -1.994697655600000144e+04 -1.956763671700000123e+04 -1.984453127600000153e+04 -1.933290973700000177e+04 -1.957748038000000088e+04 -1.948429677399999855e+04 -2.011257658699999956e+04 -1.980443143499999860e+04 -1.928770621300000130e+04 -1.970248196499999904e+04 -1.987693019500000082e+04 -1.959015048400000160e+04 -2.000851055199999973e+04 -1.958201746400000047e+04 -1.933446441599999889e+04 -1.979963628400000016e+04 -1.952478117800000109e+04 -1.991135281799999939e+04 -1.955961433300000135e+04 -1.935283394599999883e+04 -1.932179425099999935e+04 -1.976549250499999835e+04 -1.994596837600000072e+04 -1.946161635899999965e+04 -1.943705040400000144e+04 -1.910961573100000169e+04 -1.956266472100000101e+04
1.743049999999999988e+00 1.889920000000000044e+00 1.816619999999999902e+00 1.644039999999999946e+00 1.824650000000000105e+00 1.767640000000000100e+00 1.803840000000000110e+00 1.732569999999999943e+00 1.794859999999999900e+00 1.754739999999999966e+00 1.659410000000000052e+00 1.809479999999999977e+00 1.806710000000000038e+00 1.827900000000000080e+00 1.778049999999999908e+00 1.856919999999999904e+00 1.803530000000000078e+00 1.818769999999999998e+00 1.826820000000000110e+00 1.820689999999999920e+00 1.644309999999999938e+00 1.885979999999999990e+00 1.717880000000000074e+00 1.725759999999999961e+00 1.789749999999999952e+00 1.745009999999999950e+00 1.820340000000000069e+00 1.802950000000000053e+00 1.855620000000000047e+00 1.733370000000000077e+00
3.011900000000000133e-01 3.306299999999999795e-01 2.866699999999999804e-01 3.286399999999999877e-01 3.078799999999999870e-01 3.131700000000000039e-01 3.133600000000000274e-01 3.358499999999999819e-01 3.156100000000000017e-01 3.108600000000000252e-01 3.118000000000000216e-01 3.075100000000000056e-01 3.326200000000000268e-01 2.918600000000000083e-01 3.148199999999999887e-01 3.052199999999999913e-01 2.980900000000000216e-01 3.096700000000000008e-01 3.094299999999999828e-01 3.183000000000000274e-01 3.003700000000000259e-01 2.886400000000000077e-01 3.169000000000000150e-01 3.164799999999999836e-01 3.082699999999999885e-01 3.036499999999999755e-01 2.947500000000000120e-01 3.069899999999999851e-01 3.044999999999999929e-01 2.997600000000000264e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 2.935000000000000109e-03 3.999999999999999819e-06 4.235000000000000049e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
1.229786999999999964e+00 1.361391999999999936e+00 4.515000000000000263e-02 8.688800000000000689e-02 4.056099999999999983e-02 1.061884000000000050e+00 3.999999999999999819e-06 1.043447000000000013e+00 1.029859999999999942e-01 1.101710000000000050e-01 1.431964000000000015e+00 1.236955000000000027e+00 6.840999999999999859e-02 1.278796999999999962e+00 2.995599999999999999e-02 1.269792000000000032e+00 5.352900000000000019e-02 1.002890000000000059e+00 1.197190999999999894e+00 1.148549999999999988e-01 5.781100000000000128e-02 6.078399999999999775e-02 1.131069000000000102e+00 1.316599999999999993e-01 6.450200000000000378e-02 5.371499999999999886e-02 6.953299999999999759e-02 8.317099999999999493e-02 1.144252999999999965e+00 7.554600000000000204e-02
8.031199999999999450e-02 8.974699999999999345e-02 1.283530999999999977e+00 1.264407000000000059e+00 1.379286999999999930e+00 1.841500000000000081e-01 1.235697000000000045e+00 3.171999999999999906e-03 9.204679999999999529e-01 1.205540000000000056e+00 1.713500000000000092e-02 8.292900000000000271e-02 1.295274000000000036e+00 3.503699999999999870e-02 1.308449999999999891e+00 6.168699999999999878e-02 1.394867999999999997e+00 6.346400000000000652e-02 7.068800000000000083e-02 1.218091000000000035e+00 1.157321999999999962e+00 1.273539999999999894e+00 2.037599999999999828e-02 9.550539999999999585e-01 1.026080000000000103e+00 1.398481000000000085e+00 1.192876000000000047e+00 1.270828000000000069e+00 3.754500000000000198e-02 1.048964999999999925e+00
3.046619999999999884e-01 2.304130000000000067e-01 1.349970000000000059e-01 3.403479999999999839e-01 1.439729999999999899e-01 1.575630000000000086e-01 1.589339999999999919e-01 1.813740000000000074e-01 2.325810000000000100e-01 1.845070000000000043e-01 2.173730000000000107e-01 2.396929999999999894e-01 2.807080000000000131e-01 2.713880000000000181e-01 1.434149999999999869e-01 3.272280000000000189e-01 1.345339999999999869e-01 3.860379999999999923e-01 2.876940000000000053e-01 1.347909999999999942e-01 1.190510000000000040e-01 3.075379999999999781e-01 2.754739999999999966e-01 2.023429999999999951e-01 2.422189999999999899e-01 1.698159999999999947e-01 1.079009999999999969e-01 1.714940000000000075e-01 2.707399999999999807e-01 1.219879999999999992e-01
3.073029999999999928e-01 2.054970000000000130e-01 1.948259999999999992e-01 1.969779999999999864e-01 4.334859999999999824e-01 2.344999999999999862e-01 3.284520000000000217e-01 2.016640000000000099e-01 3.283190000000000275e-01 3.363619999999999943e-01 3.639760000000000217e-01 2.535339999999999816e-01 2.277210000000000067e-01 2.922069999999999945e-01 3.492899999999999894e-01 1.053319999999999951e-01 3.389349999999999863e-01 2.867790000000000061e-01 2.372720000000000107e-01 2.580509999999999748e-01 2.812000000000000055e-01 2.506559999999999899e-01 1.969160000000000077e-01 2.650859999999999883e-01 3.299969999999999848e-01 2.288330000000000086e-01 3.113429999999999809e-01 2.474020000000000108e-01 2.846389999999999754e-01 1.863180000000000114e-01
