# geo_100.0_sim_0 geo_100.0_sim_1 geo_100.0_sim_2 geo_100.0_sim_3 geo_100.0_sim_4 geo_100.0_sim_5 geo_100.0_sim_6 geo_100.0_sim_7 geo_100.0_sim_8 geo_100.0_sim_9 geo_100.0_sim_10 geo_100.0_sim_11 geo_100.0_sim_12 geo_100.0_sim_13 geo_100.0_sim_14 geo_100.0_sim_15 geo_100.0_sim_16 geo_100.0_sim_17 geo_100.0_sim_18 geo_100.0_sim_19 geo_100.0_sim_20 geo_100.0_sim_21 geo_100.0_sim_22 geo_100.0_sim_23 geo_100.0_sim_24 geo_100.0_sim_25 geo_100.0_sim_26 geo_100.0_sim_27 geo_100.0_sim_28 geo_100.0_sim_29
-1.537590937699999995e+04 -1.563211741799999982e+04 -1.584835428700000011e+04 -1.600290462800000023e+04 -1.602562770400000045e+04 -1.574000528499999928e+04 -1.644094237799999974e+04 -1.544528462399999989e+04 -1.576591960300000028e+04 -1.637462350100000003e+04 -1.577631427400000030e+04 -1.565886832499999946e+04 -1.608646118199999910e+04 -1.546590495000000010e+04 -1.591797562300000027e+04 -1.589047946199999933e+04 -1.723649264300000141e+04 -1.529829261399999996e+04 -1.630850513200000023e+04 -1.635786162100000001e+04 -1.595915091299999949e+04 -1.552090233199999966e+04 -1.553985767400000077e+04 -1.545517172299999947e+04 -1.623075938300000053e+04 -1.518310705500000040e+04 -1.589378417599999921e+04 -1.580398114600000008e+04 -1.608270167199999923e+04 -1.591832963200000086e+04
1.743319999999999981e+00 1.666190000000000060e+00 1.727510000000000101e+00 1.818840000000000012e+00 1.728439999999999976e+00 1.532969999999999944e+00 1.595860000000000056e+00 1.651929999999999898e+00 1.585609999999999964e+00 1.640370000000000106e+00 1.572259999999999991e+00 1.663480000000000070e+00 1.691670000000000007e+00 1.570230000000000015e+00 1.743219999999999992e+00 1.589900000000000091e+00 1.624989999999999934e+00 1.748739999999999961e+00 1.549260000000000081e+00 1.634479999999999933e+00 1.612060000000000048e+00 1.732979999999999965e+00 1.693610000000000060e+00 1.491309999999999913e+00 1.571039999999999992e+00 1.686560000000000059e+00 1.718150000000000066e+00 1.527789999999999981e+00 1.569830000000000059e+00 1.670020000000000060e+00
6.101199999999999957e-01 5.844500000000000250e-01 5.968599999999999461e-01 6.505499999999999616e-01 6.650300000000000100e-01 6.363799999999999457e-01 6.607399999999999940e-01 5.845900000000000540e-01 6.350799999999999779e-01 6.133899999999999908e-01 5.931400000000000006e-01 6.568699999999999539e-01 6.294100000000000250e-01 5.774700000000000388e-01 6.400599999999999623e-01 6.526600000000000179e-01 5.900900000000000034e-01 5.964599999999999902e-01 6.270099999999999563e-01 6.778100000000000236e-01 6.225699999999999568e-01 6.384300000000000530e-01 5.803099999999999925e-01 5.924000000000000377e-01 6.938400000000000123e-01 6.171699999999999964e-01 6.050100000000000477e-01 5.869400000000000173e-01 6.059099999999999486e-01 5.832500000000000462e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
3.999999999999999819e-06 3.999999999999999819e-06 4.853500000000000175e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
2.166300000000000170e-02 1.127559999999999951e-01 1.161289999999999961e-01 1.216504999999999947e+00 7.409399999999999320e-02 6.825120000000000076e-01 1.078403999999999918e+00 3.715500000000000053e-02 8.218699999999999617e-02 1.448318999999999912e+00 7.584899999999999975e-01 3.999999999999999819e-06 1.538400000000000045e-01 3.999999999999999819e-06 1.591618999999999895e+00 1.941929000000000016e+00 1.791855999999999893e+00 2.763200000000000031e-02 3.999999999999999819e-06 1.612400999999999973e+00 9.630099999999999771e-02 3.108299999999999952e-02 9.848519999999999497e-01 3.269730000000000136e-01 1.637922000000000100e+00 8.386000000000000398e-02 5.928800000000000042e-02 1.703599000000000085e+00 1.216175999999999924e+00 3.602099999999999747e-02
1.471900999999999904e+00 1.365118999999999971e+00 1.114389999999999992e+00 2.253809999999999980e-01 1.602765999999999913e+00 1.212049999999999933e-01 1.154130000000000017e-01 1.820623000000000102e+00 9.160430000000000517e-01 1.621470000000000133e-01 1.653769999999999962e-01 1.670139999999999958e+00 1.406878000000000073e+00 1.596975999999999951e+00 3.999999999999999819e-06 3.999999999999999819e-06 2.097990000000000133e-01 1.577785999999999911e+00 1.192952000000000012e+00 3.999999999999999819e-06 1.161035000000000039e+00 1.099547999999999970e+00 5.367399999999999949e-02 1.347752999999999979e+00 3.999999999999999819e-06 1.288502000000000036e+00 1.034297000000000022e+00 3.999999999999999819e-06 6.880200000000000204e-02 8.657470000000000443e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.930089999999999750e-01 3.732289999999999774e-01 1.180009999999999948e-01 2.686990000000000212e-01 3.988530000000000131e-01 3.642469999999999875e-01 9.210650000000000226e-01 5.134140000000000370e-01 1.461840000000000084e-01 3.420489999999999919e-01 1.376598999999999906e+00 5.127999999999999919e-02 1.069969999999999949e-01 3.178520000000000234e-01 3.223989999999999911e-01 6.790150000000000352e-01 3.999999999999999819e-06 1.295129999999999892e-01 5.203780000000000072e-01 1.265340000000000076e-01 4.221829999999999750e-01 9.525899999999999646e-02 4.598220000000000085e-01 2.201130000000000031e-01 2.804749999999999743e-01 2.062299999999999967e-01 2.680390000000000272e-01 1.489620000000000111e-01 4.108829999999999982e-01 4.476310000000000011e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.096679999999999766e-01 4.506919999999999815e-01 4.985530000000000239e-01 4.293109999999999982e-01 5.068120000000000402e-01 7.169830000000000370e-01 3.451690000000000036e-01 5.905770000000000186e-01 3.877909999999999968e-01 6.636549999999999949e-01 3.760029999999999761e-01 4.470009999999999817e-01 5.613359999999999461e-01 3.976990000000000247e-01 3.910159999999999747e-01 6.146150000000000224e-01 8.300260000000000415e-01 5.009449999999999736e-01 6.213140000000000329e-01 6.757790000000000186e-01 3.431259999999999866e-01 7.299780000000000157e-01 2.463069999999999982e-01 3.741689999999999738e-01 3.903510000000000035e-01 2.825739999999999919e-01 3.340060000000000251e-01 5.694609999999999950e-01 2.908259999999999734e-01 4.308660000000000267e-01
