# geo_3.0_sim_0 geo_3.0_sim_1 geo_3.0_sim_2 geo_3.0_sim_3 geo_3.0_sim_4 geo_3.0_sim_5 geo_3.0_sim_6 geo_3.0_sim_7 geo_3.0_sim_8 geo_3.0_sim_9 geo_3.0_sim_10 geo_3.0_sim_11 geo_3.0_sim_12 geo_3.0_sim_13 geo_3.0_sim_14 geo_3.0_sim_15 geo_3.0_sim_16 geo_3.0_sim_17 geo_3.0_sim_18 geo_3.0_sim_19 geo_3.0_sim_20 geo_3.0_sim_21 geo_3.0_sim_22 geo_3.0_sim_23 geo_3.0_sim_24 geo_3.0_sim_25 geo_3.0_sim_26 geo_3.0_sim_27 geo_3.0_sim_28 geo_3.0_sim_29
-1.592414192299999922e+04 -1.581144031800000084e+04 -1.577681623199999922e+04 -1.619129280800000015e+04 -1.635178666200000043e+04 -1.620884256199999982e+04 -1.576223859099999936e+04 -1.628506369099999938e+04 -1.605510473900000034e+04 -1.600131246599999940e+04 -1.646169603999999890e+04 -1.612036220800000046e+04 -1.598312941900000078e+04 -1.600162355700000080e+04 -1.591642412100000001e+04 -1.612479303400000026e+04 -1.657767026299999998e+04 -1.578916115600000012e+04 -1.599074289800000042e+04 -1.597494565999999941e+04 -1.615494060700000045e+04 -1.623900389499999983e+04 -1.620984299800000008e+04 -1.610357471799999985e+04 -1.611006502999999975e+04 -1.585389622600000075e+04 -1.572231776499999978e+04 -1.597034650800000054e+04 -1.590888684900000044e+04 -1.597129942200000005e+04
1.631780000000000008e+00 1.590349999999999930e+00 1.665040000000000076e+00 1.583380000000000010e+00 1.557010000000000005e+00 1.458299999999999930e+00 1.625099999999999989e+00 1.642570000000000086e+00 1.644169999999999909e+00 1.663520000000000110e+00 1.471959999999999935e+00 1.548370000000000024e+00 1.660330000000000084e+00 1.760310000000000041e+00 1.564000000000000057e+00 1.522459999999999924e+00 1.561280000000000001e+00 1.569150000000000045e+00 1.596540000000000070e+00 1.652430000000000065e+00 1.589439999999999964e+00 1.584449999999999914e+00 1.736310000000000020e+00 1.652099999999999902e+00 1.605250000000000066e+00 1.526629999999999932e+00 1.638710000000000111e+00 1.720679999999999987e+00 1.450849999999999973e+00 1.647890000000000077e+00
6.428899999999999615e-01 5.919499999999999762e-01 6.140700000000000047e-01 6.330799999999999761e-01 6.861899999999999666e-01 5.722899999999999654e-01 6.505900000000000016e-01 6.194899999999999851e-01 6.321400000000000352e-01 5.748199999999999976e-01 6.490399999999999503e-01 7.298400000000000443e-01 6.925099999999999589e-01 6.141100000000000447e-01 6.011800000000000477e-01 6.531799999999999828e-01 6.889600000000000168e-01 6.419300000000000006e-01 6.219200000000000284e-01 6.496100000000000207e-01 6.481900000000000439e-01 6.478300000000000169e-01 6.651000000000000245e-01 6.591700000000000337e-01 6.738800000000000345e-01 6.651000000000000245e-01 6.694400000000000350e-01 6.450099999999999723e-01 6.441599999999999548e-01 6.155899999999999705e-01
3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.614150000000000418e-01 2.005649999999999933e-01 1.663219999999999976e-01 2.014400000000000079e-01 2.072670000000000068e-01 2.183650000000000035e-01 1.672889999999999933e-01 2.077180000000000137e-01 2.691089999999999871e-01 1.169339999999999963e-01 1.421459999999999946e-01 9.825000000000000400e-02 1.360250000000000070e-01 1.863970000000000071e-01 1.200787000000000049e+00 1.901599999999999957e-01 1.400220000000000076e-01 1.240150000000000002e-01 1.908160000000000134e-01 2.031399999999999872e-01 2.574400000000000022e-01 1.199039999999999967e-01 1.981249999999999956e-01 1.036901000000000073e+00 9.756829999999999670e-01 2.552180000000000004e-01 1.074470000000000008e-01 2.470370000000000066e-01 2.646479999999999944e-01 2.328540000000000054e-01
1.489939999999999876e-01 1.154533999999999949e+00 1.182870000000000088e+00 1.113852000000000064e+00 1.029582999999999915e+00 1.058872999999999953e+00 1.169755000000000100e+00 1.176210999999999895e+00 9.895770000000000399e-01 1.303461999999999898e+00 1.141928000000000054e+00 1.110330000000000039e+00 1.217405999999999988e+00 1.194120000000000070e+00 1.668979999999999908e-01 1.198155999999999999e+00 1.325253999999999932e+00 1.248062000000000005e+00 1.177307000000000103e+00 9.827420000000000044e-01 9.375130000000000408e-01 1.308419999999999916e+00 1.295390999999999959e+00 2.178759999999999863e-01 2.051199999999999968e-01 8.991460000000000008e-01 1.206536999999999971e+00 1.131469000000000058e+00 1.016056999999999988e+00 1.099261999999999961e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
