# geo_100.0_sim_0 geo_100.0_sim_1 geo_100.0_sim_2 geo_100.0_sim_3 geo_100.0_sim_4 geo_100.0_sim_5 geo_100.0_sim_6 geo_100.0_sim_7 geo_100.0_sim_8 geo_100.0_sim_9 geo_100.0_sim_10 geo_100.0_sim_11 geo_100.0_sim_12 geo_100.0_sim_13 geo_100.0_sim_14 geo_100.0_sim_15 geo_100.0_sim_16 geo_100.0_sim_17 geo_100.0_sim_18 geo_100.0_sim_19 geo_100.0_sim_20 geo_100.0_sim_21 geo_100.0_sim_22 geo_100.0_sim_23 geo_100.0_sim_24 geo_100.0_sim_25 geo_100.0_sim_26 geo_100.0_sim_27 geo_100.0_sim_28 geo_100.0_sim_29
-2.117983579000000191e+03 -2.103299452000000201e+03 -1.924056332999999995e+03 -2.128253884000000198e+03 -1.935313464999999951e+03 -2.163053609999999935e+03 -2.216256683999999950e+03 -2.087869889999999941e+03 -2.182689933000000110e+03 -2.104480418999999983e+03 -2.086267289999999775e+03 -2.351711239000000205e+03 -2.306593061999999918e+03 -2.102151722999999947e+03 -1.982296407000000045e+03 -2.025848774999999932e+03 -2.104971082000000024e+03 -2.206276143000000047e+03 -1.935295781000000034e+03 -2.072150290000000041e+03 -2.059779512000000068e+03 -2.055083533999999872e+03 -2.063049296000000140e+03 -2.345562284000000091e+03 -2.063427384000000075e+03 -2.030267599999999902e+03 -2.126702823000000080e+03 -2.142203619999999773e+03 -2.051968315999999959e+03 -2.047950143999999909e+03
6.663380000000000081e+00 5.973230000000000040e+00 6.831819999999999560e+00 8.106859999999999289e+00 8.300150000000000361e+00 9.190939999999999444e+00 8.278069999999999595e+00 7.994670000000000165e+00 6.992340000000000444e+00 8.364390000000000214e+00 7.661340000000000039e+00 6.322330000000000005e+00 6.959730000000000416e+00 9.241270000000000095e+00 8.090419999999999945e+00 7.037639999999999674e+00 8.169159999999999755e+00 6.685670000000000002e+00 1.023799999999999955e+01 1.202547999999999995e+01 9.109080000000000510e+00 8.876490000000000435e+00 7.462819999999999787e+00 8.279830000000000467e+00 8.490030000000000854e+00 1.038691000000000031e+01 7.190900000000000070e+00 7.991690000000000182e+00 7.585460000000000313e+00 6.821970000000000312e+00
1.037959999999999994e+00 9.276400000000000201e-01 8.803100000000000369e-01 1.207079999999999931e+00 7.724499999999999700e-01 8.330699999999999772e-01 1.064999999999999947e+00 9.303000000000000158e-01 8.997899999999999787e-01 9.536299999999999777e-01 1.125059999999999949e+00 9.489900000000000002e-01 1.277889999999999970e+00 9.506799999999999695e-01 1.237540000000000084e+00 8.369499999999999718e-01 1.097499999999999920e+00 9.383299999999999974e-01 7.752200000000000202e-01 1.075590000000000046e+00 8.611499999999999710e-01 1.263390000000000013e+00 9.722899999999999876e-01 9.066499999999999559e-01 9.763500000000000512e-01 1.333150000000000057e+00 1.058419999999999916e+00 1.018809999999999993e+00 1.001730000000000009e+00 9.029599999999999849e-01
3.999999999999999819e-06 1.286699999999999997e-02 1.008900000000000075e-02 6.244999999999999683e-03 3.999999999999999819e-06 3.259900000000000297e-02 1.637800000000000020e-02 2.519300000000000012e-02 1.813499999999999834e-02 1.681200000000000055e-02 1.246799999999999992e-02 1.309199999999999947e-02 2.043800000000000130e-02 1.370900000000000070e-02 1.933199999999999849e-02 1.793399999999999855e-02 3.999999999999999819e-06 2.914200000000000124e-02 1.926200000000000134e-02 4.559999999999999817e-03 5.492999999999999619e-03 2.595499999999999891e-02 3.904500000000000332e-02 3.999999999999999819e-06 1.252499999999999968e-02 3.315300000000000191e-02 5.732000000000000116e-03 3.314500000000000085e-02 2.007199999999999956e-02 3.262000000000000316e-02
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.298999999999999828e-03 3.074599999999999903e-02 1.635599999999999901e-02 2.187300000000000008e-02 9.143999999999999351e-03 3.132000000000000062e-02 1.330199999999999959e-02 5.884999999999999606e-03 3.126999999999999919e-02 6.244000000000000418e-03 3.988799999999999985e-02 3.999999999999999819e-06 2.562800000000000147e-02 2.541999999999999989e-03 2.184900000000000037e-02 1.238799999999999971e-02 3.999999999999999819e-06 4.466000000000000351e-03 2.004900000000000085e-02 1.072999999999999952e-03 1.866400000000000003e-02 2.557999999999999857e-02 1.824299999999999880e-02 4.249000000000000173e-03 1.940599999999999964e-02 3.999999999999999819e-06 1.973300000000000054e-02 3.364000000000000323e-02 2.364000000000000216e-03 1.212899999999999916e-02
2.410200000000000120e-01 2.461720000000000019e-01 1.869659999999999933e-01 1.720879999999999910e-01 1.632869999999999877e-01 2.150509999999999922e-01 2.046679999999999888e-01 2.283469999999999944e-01 2.274009999999999920e-01 2.296459999999999890e-01 1.800009999999999943e-01 2.308669999999999889e-01 1.473939999999999972e-01 1.888869999999999993e-01 1.930089999999999861e-01 1.363010000000000055e-01 1.651900000000000035e-01 1.570199999999999929e-01 2.136480000000000046e-01 2.586080000000000045e-01 2.022200000000000109e-01 1.202560000000000018e-01 1.282860000000000111e-01 1.573209999999999886e-01 1.764390000000000125e-01 2.920650000000000190e-01 1.397319999999999951e-01 9.864900000000000058e-02 3.404399999999999787e-02 1.661499999999999921e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.874750000000000028e-01 3.085789999999999922e-01 1.941410000000000080e-01 2.215989999999999904e-01 2.317120000000000013e-01 2.265320000000000111e-01 1.796089999999999909e-01 2.887660000000000227e-01 1.383630000000000138e-01 1.813919999999999977e-01 2.557050000000000156e-01 1.147760000000000030e-01 2.282510000000000094e-01 1.065170000000000006e-01 3.121900000000000230e-01 2.312059999999999949e-01 1.439940000000000109e-01 2.444510000000000016e-01 1.659680000000000044e-01 2.003290000000000071e-01 2.290979999999999961e-01 3.090350000000000041e-01 2.278640000000000110e-01 2.145340000000000025e-01 3.234560000000000213e-01 1.978070000000000106e-01 2.219770000000000076e-01 2.710879999999999956e-01 5.040769999999999973e-01 2.357080000000000009e-01
