# geo_10.0_sim_0 geo_10.0_sim_1 geo_10.0_sim_2 geo_10.0_sim_3 geo_10.0_sim_4 geo_10.0_sim_5 geo_10.0_sim_6 geo_10.0_sim_7 geo_10.0_sim_8 geo_10.0_sim_9 geo_10.0_sim_10 geo_10.0_sim_11 geo_10.0_sim_12 geo_10.0_sim_13 geo_10.0_sim_14 geo_10.0_sim_15 geo_10.0_sim_16 geo_10.0_sim_17 geo_10.0_sim_18 geo_10.0_sim_19 geo_10.0_sim_20 geo_10.0_sim_21 geo_10.0_sim_22 geo_10.0_sim_23 geo_10.0_sim_24 geo_10.0_sim_25 geo_10.0_sim_26 geo_10.0_sim_27 geo_10.0_sim_28 geo_10.0_sim_29
-2.348910413999999946e+03 -2.191316894000000048e+03 -2.292873163000000204e+03 -2.145407474999999977e+03 -2.048604706999999962e+03 -2.283905239000000165e+03 -2.554940091999999822e+03 -2.432235251000000062e+03 -2.131269041999999899e+03 -2.192637235000000146e+03 -2.301764877999999953e+03 -2.294475730999999996e+03 -2.191768695000000207e+03 -2.175112763999999970e+03 -2.294343444999999974e+03 -2.235352777999999944e+03 -2.217253150999999889e+03 -2.292708830999999918e+03 -2.157155337000000145e+03 -2.130886912999999822e+03 -2.201541819999999916e+03 -2.325673741000000064e+03 -2.194349342999999863e+03 -2.250784525999999914e+03 -2.231159775999999965e+03 -2.305503299999999854e+03 -2.278260386999999810e+03 -2.254606192000000192e+03 -2.246322553999999855e+03 -2.073296163999999862e+03
7.109869999999999912e+00 8.991809999999999192e+00 1.154672000000000054e+01 9.177469999999999573e+00 1.076186000000000043e+01 8.471659999999999968e+00 8.304240000000000066e+00 6.956470000000000375e+00 9.491009999999999280e+00 9.552260000000000417e+00 6.154429999999999623e+00 7.562199999999999811e+00 1.012069999999999936e+01 6.954039999999999999e+00 7.323240000000000194e+00 6.876179999999999737e+00 7.501339999999999897e+00 6.482400000000000162e+00 1.069766000000000084e+01 6.752589999999999648e+00 7.408290000000000042e+00 7.932400000000000340e+00 7.869880000000000209e+00 6.882450000000000401e+00 6.600299999999999834e+00 8.237909999999999400e+00 7.332980000000000054e+00 5.397800000000000153e+00 8.500519999999999854e+00 9.613709999999999312e+00
8.387799999999999701e-01 9.430600000000000094e-01 1.002480000000000038e+00 9.916700000000000514e-01 9.239100000000000090e-01 1.095599999999999907e+00 1.072449999999999903e+00 9.571600000000000108e-01 8.664899999999999824e-01 1.163810000000000011e+00 9.235999999999999766e-01 1.024520000000000097e+00 9.167100000000000248e-01 1.127180000000000071e+00 9.975399999999999823e-01 1.115040000000000031e+00 8.481899999999999995e-01 8.583800000000000319e-01 9.588900000000000201e-01 8.274099999999999788e-01 1.048629999999999951e+00 9.264700000000000157e-01 1.060720000000000107e+00 1.034380000000000077e+00 8.308200000000000029e-01 1.048340000000000050e+00 9.876899999999999569e-01 8.339400000000000146e-01 1.037160000000000082e+00 1.249619999999999953e+00
3.999999999999999819e-06 1.406699999999999964e-02 1.148599999999999968e-02 7.321000000000000250e-03 3.749000000000000162e-03 2.592000000000000120e-03 1.810200000000000004e-02 1.711299999999999974e-02 3.999999999999999819e-06 4.355599999999999750e-02 2.264700000000000046e-02 3.999999999999999819e-06 3.999999999999999819e-06 4.884000000000000320e-03 4.356999999999999762e-03 2.866000000000000058e-03 1.736100000000000143e-02 1.092399999999999968e-02 1.217099999999999953e-02 3.999999999999999819e-06 5.893999999999999934e-03 1.742799999999999905e-02 3.999999999999999819e-06 2.066000000000000128e-02 1.115299999999999972e-02 3.999999999999999819e-06 8.985999999999999197e-03 2.263099999999999834e-02 3.705499999999999766e-02 2.009800000000000128e-02
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.999999999999999819e-06 4.638999999999999894e-03 1.074400000000000008e-02 3.999999999999999819e-06 3.239000000000000126e-03 2.410100000000000089e-02 1.816200000000000106e-02 3.999999999999999819e-06 7.007000000000000207e-03 6.637999999999999803e-03 5.747999999999999637e-03 3.174000000000000172e-03 3.999999999999999819e-06 3.999999999999999819e-06 2.068100000000000147e-02 3.999999999999999819e-06 1.358000000000000006e-02 2.822900000000000062e-02 6.622000000000000282e-03 3.999999999999999819e-06 6.278999999999999859e-03 3.999999999999999819e-06 1.415399999999999991e-02 3.999999999999999819e-06 7.915999999999999426e-03 7.628000000000000232e-03 3.999999999999999819e-06 1.370399999999999917e-02 2.385800000000000073e-02 5.424000000000000002e-03
2.064219999999999944e-01 1.345889999999999864e-01 2.142959999999999865e-01 1.452130000000000087e-01 1.210340000000000027e-01 2.173029999999999962e-01 2.649929999999999786e-01 2.466430000000000011e-01 1.568259999999999932e-01 1.636080000000000034e-01 2.085420000000000051e-01 2.023000000000000076e-01 1.684350000000000014e-01 1.376429999999999876e-01 1.431769999999999987e-01 1.407180000000000097e-01 1.707349999999999979e-01 1.631749999999999867e-01 1.937939999999999940e-01 1.561520000000000130e-01 1.850680000000000103e-01 1.412360000000000004e-01 1.214589999999999975e-01 1.676559999999999995e-01 1.822330000000000061e-01 2.437010000000000010e-01 1.966459999999999875e-01 1.664480000000000126e-01 1.625929999999999875e-01 1.964130000000000043e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.337150000000000061e-01 2.806649999999999978e-01 1.398310000000000108e-01 2.303830000000000044e-01 1.695669999999999955e-01 1.696759999999999935e-01 3.157570000000000099e-01 2.405509999999999871e-01 2.256080000000000030e-01 2.391770000000000007e-01 1.642560000000000131e-01 2.051499999999999990e-01 2.563790000000000235e-01 2.202139999999999931e-01 2.016789999999999972e-01 1.804230000000000000e-01 1.911289999999999933e-01 3.035419999999999785e-01 2.083319999999999894e-01 2.303620000000000112e-01 2.184740000000000015e-01 1.573420000000000096e-01 2.033109999999999917e-01 2.366189999999999960e-01 1.603509999999999935e-01 2.232790000000000052e-01 1.412589999999999957e-01 2.527869999999999839e-01 1.415379999999999971e-01 2.091749999999999998e-01
2.768950000000000022e-01 1.113060000000000022e-01 1.616479999999999861e-01 1.693040000000000100e-01 2.296159999999999868e-01 2.625870000000000148e-01 2.800590000000000024e-01 2.295570000000000110e-01 1.652039999999999897e-01 2.779190000000000271e-01 1.405550000000000133e-01 2.016259999999999997e-01 2.514779999999999793e-01 2.549210000000000087e-01 2.694550000000000001e-01 1.819250000000000034e-01 1.830340000000000023e-01 2.104520000000000002e-01 2.845320000000000071e-01 2.351439999999999919e-01 1.971489999999999909e-01 2.655500000000000083e-01 2.020270000000000121e-01 1.266700000000000048e-01 2.443929999999999991e-01 1.531299999999999883e-01 1.859460000000000002e-01 2.652769999999999850e-01 2.511959999999999749e-01 1.691199999999999926e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.953399999999999970e-02 3.582300000000000068e-02 5.512700000000000239e-02 3.742000000000000100e-03 2.987499999999999878e-02 2.528700000000000045e-02 2.295200000000000018e-02 1.727400000000000116e-02 5.587199999999999805e-02 3.999999999999999819e-06 3.629700000000000287e-02 7.488200000000000411e-02 8.784400000000000541e-02 1.659000000000000058e-02 2.418599999999999917e-02 5.390199999999999853e-02 4.106100000000000028e-02 2.665700000000000014e-02 5.499199999999999922e-02 4.483199999999999685e-02 3.362699999999999717e-02 4.353000000000000098e-03 3.271700000000000302e-02 3.433699999999999947e-02 3.999999999999999819e-06 3.872699999999999754e-02 8.386200000000000598e-02 2.286600000000000091e-02 2.993399999999999880e-02 3.153799999999999659e-02
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
