# time 	 divergence 	 # of mutations 	 # IGC chances 	 IGC length 	 # IGC failures 	 Changes due to IGC  	 % change due to IGC 
0.0	0.0899795501022	0	0	0	0	0	0.0
0.000259828372703	0.0920245398773	1	0	0	0	0	0.0
0.000872453004546	0.0899795501022	2	0	0	0	0	0.0
0.00176946877657	0.0777096114519	2	1	33	0	6	0.75
0.00587050016398	0.079754601227	3	1	33	0	6	0.666666666667
0.00600747921672	0.079754601227	3	2	6	0	6	0.666666666667
0.0144819784654	0.081799591002	4	2	6	0	6	0.6
0.0190144722799	0.079754601227	4	3	33	0	7	0.636363636364
0.0215436392605	0.081799591002	5	3	33	0	7	0.583333333333
0.023427392709	0.081799591002	5	4	9	0	7	0.583333333333
0.023558961473	0.0838445807771	6	4	9	0	7	0.538461538462
0.0236125701735	0.081799591002	6	5	3	0	8	0.571428571429
0.0247676558276	0.0838445807771	7	5	3	0	8	0.533333333333
0.0250725723831	0.0838445807771	7	6	6	0	8	0.533333333333
