# time 	 divergence 	 # of mutations 	 # IGC chances 	 IGC length 	 # IGC failures 	 Changes due to IGC  	 % change due to IGC 
0.0	0.0081799591002	0	0	0	0	0	0.0
0.0042251827788	0.0102249488753	1	0	0	0	0	0.0
0.00566946883014	0.0102249488753	1	1	33	0	0	0.0
0.00880445113547	0.0102249488753	1	2	48	0	0	0.0
0.0115207839111	0.0081799591002	1	3	27	0	1	0.5
0.0119884346167	0.00613496932515	1	4	72	0	2	0.666666666667
0.0127836485567	0.0081799591002	2	4	72	0	2	0.5
0.0148217017129	0.0102249488753	3	4	72	0	2	0.4
0.0157694529384	0.0122699386503	4	4	72	0	2	0.333333333333
0.0174561273601	0.0143149284254	5	4	72	0	2	0.285714285714
0.0182911942206	0.0122699386503	5	5	36	0	3	0.375
0.0200103629859	0.0102249488753	5	6	30	0	4	0.444444444444
0.0262056670663	0.0122699386503	6	6	30	0	4	0.4
0.0295704082857	0.0143149284254	7	6	30	0	4	0.363636363636
